texto,es_groseria
"Este producto es una maravilla, estoy muy contento con mi compra.",0
"No me gustó para nada, pero es mi opinión personal.",0
"Qué hijo de puta el que me chocó el carro y se fue.",1
"Vamos a tomar un café después del trabajo.",0
"Este maldito aparato no funciona como debería.",1
"Me encanta pasar tiempo con mi familia los fines de semana.",0
"Ese pendejo no sabe lo que está haciendo.",1
"La película fue interesante aunque un poco larga.",0
"¿Quién carajos se cree que es para hablarme así?",1
"El clima está muy agradable hoy, perfecto para salir.",0
"No seas idiota, eso no funciona así.",1
"Muchas gracias por tu ayuda, ha sido muy útil.",0
"Me cago en todo lo que se menea.",1
"El informe quedó muy bien estructurado.",0
"Este jodido tráfico me va a volver loco.",1
"La comida estaba deliciosa, volveré pronto.",0
"Vete a la mierda con tus excusas.",1
"El concierto fue una experiencia inolvidable.",0
"Ese cabrón me debe dinero desde hace meses.",1
"La nueva actualización mejora mucho la aplicación.",0
"Eres un completo imbécil si crees eso.",1
"La conferencia fue muy educativa e inspiradora.",0
"Me tienes hasta los cojones con lo mismo.",1
"El servicio al cliente fue excepcionalmente bueno.",0
"¡Qué chingados estás haciendo con mi computadora!",1
"El curso online superó mis expectativas.",0
"Ese pinche gato destruyó mis cortinas nuevas.",1
"Los gráficos del juego son impresionantes.",0
"No me jodas con esas historias.",1
"El hotel tenía unas vistas espectaculares.",0
"Muy recomendable Esta hermosa, esta hermosa la asada, lo que no me gusto es que el acceso para llegar a esta es muy accidentada me cai varias veces",0
"El concierto de anoche fue una experiencia inolvidable.",0
"Este puto sistema nunca funciona cuando lo necesitas.",1
"La atención en el restaurante fue excelente.",0
"¡Deja de tocar mis cosas, carajo!",1
"Los paisajes de este lugar son simplemente hermosos.",0
"Ese gillipollas no sabe cómo hacer su trabajo.",1
"El libro que me recomendaste es fascinante.",0
"Estoy hasta la madre de tus mentiras constantes.",1
"La nueva receta que probé quedó deliciosa.",0
"No me vengas con estas mierdas ahora mismo.",1
"El documental sobre naturaleza fue muy educativo.",0
"¿Qué coño estás mirando?",1
"La aplicación ha mejorado mucho con la última actualización.",0
"Este hijo de la chingada me robó el estacionamiento.",1
"Las nuevas oficinas son espaciosas y cómodas.",0
"Vete a la verga con tus problemas.",1
"La obra de teatro superó todas mis expectativas.",0
"Ese cabrón no debería estar a cargo del proyecto.",1
"Los resultados del estudio son muy prometedores.",0
"Estoy hasta los huevos de explicarte lo mismo.",1
"La nueva política de la empresa beneficia a todos los empleados.",0
"¡Qué pinche calor hace hoy!",1
"La reunión fue productiva y todos quedaron satisfechos.",0
"Esa gilipollas siempre llega tarde a las reuniones.",1
"El diseño del nuevo producto es innovador.",0
"Me suda la polla lo que pienses al respecto.",1
"La exposición de arte estaba muy bien organizada.",0
"Ese pendejo nunca escucha los consejos que le dan.",1
"El viaje de negocios fue un éxito total.",0
"¡Vete al carajo con tus teorías conspirativas!",1
"La nueva cafetería del barrio tiene un ambiente muy acogedor.",0
"Este maldito teléfono no deja de dar problemas.",1
"El seminario de ayer proporcionó información muy valiosa.",0
"Menuda mierda de servicio dan en este lugar.",1
"El festival cultural del fin de semana fue extraordinario.",0
"Ese imbécil casi provoca un accidente por ir distraído.",1
"Las nuevas medidas de seguridad han sido bien recibidas.",0
"No me toques los cojones con tus excusas.",1
"La conferencia internacional atrajo a expertos de todo el mundo.",0
"¿Quién diablos te ha dado permiso para entrar?",1
"El nuevo parque de la ciudad es perfecto para pasear.",0
"Esta mierda de televisor no funciona correctamente.",1
"La presentación del proyecto impresionó a los inversores.",0
"Vete a la puta mierda, no quiero hablar contigo.",1
"El programa de formación ha sido muy beneficioso para el equipo.",0
